Symbol,Code,Name
000568.SZ,泸州老窖,000568.SZ - 泸州老窖
000858.SZ,五粮液,000858.SZ - 五粮液
513870.SS,纳指ETF,513870.SS - 纳指ETF富国
BTCC-B.TO,BTCC-B.TO,BTCC-B.TO - Purpose Bitcoin ETF Non-Currency Hedged Units
CPRT,CPRT,"CPRT - Copart, Inc."
IBIT,IBIT,IBIT - iShares Bitcoin Trust ETF
IWM,IWM,IWM - iShare Trust - Russell 2000
LULU,LULU,LULU - luluemon athletica inc.
MA,MA,MA - Mastercard Incorporated
MCD,MCD,MCD - McDonald's Corp
QQC.TO,QQC.TO,QQC.TO - Invesco NASDAQ 100 Index ETF
QQQ,QQQ,QQQ - Invesco QQQ Trust
SQQQ,SQQQ,SQQQ - ProShares UltraPro Short QQQ
TQQQ,TQQQ,TQQQ - ProShares UltraPro QQQ
VOO,VOO,VOO - Vanguard S&P 500
WMT,WMT,WMT - Walmart Inc.
YANG,YANG,YANG - Direxion Daily FTSE China Bear 3X Shares
YINN,YINN,YINN - Direxion Daily FTSE China Bull 3X Shares
